mul(add(x1, x1), x1); (19.87786361841918,)
mul(add(sin(mul(0, x2)), x1), add(x1, x1)); (19.87786361841918,)
mul(add(add(x1, x1), safe_sqrt(-8)), x1); (19.87786361841918,)
mul(x1, add(x1, x1)); (19.87786361841918,)
mul(x2, add(x2, x2)); (19.881342004902177,)
mul(add(x2, x2), x2); (19.881342004902177,)
mul(sub(neg(-0.777671671466585), sin(x1)), add(x2, x2)); (22.930888401098958,)
mul(add(x1, sub(x2, 4)), x2); (26.43862523013766,)
mul(add(x1, add(x2, x2)), neg(x2)); (29.67733037443676,)
mul(add(add(x2, add(x2, x2)), x1), x2); (30.7916042570372,)
mul(x2, add(x1, add(x2, add(x2, x2)))); (30.7916042570372,)
mul(add(safe_sqrt(x1), x1), add(x1, x1)); (33.89779563832631,)
sq(sq(x1)); (35.46564356211754,)
mul(add(x1, add(x1, x1)), x1); (35.8210485685813,)
-6; (43.53271571016982,)
mul(add(x1, 6), x2); (49.983192279649785,)
mul(add(x1, -6), x2); (50.31712752484225,)
mul(add(x1, x1), add(x1, x1)); (58.1693729794649,)
mul(add(x2, x2), add(x2, x2)); (58.53451031419863,)
mul(tan(8), x1); (69.43255777009917,)
8; (70.7725072870456,)
mul(add(x1, x1), mul(x2, add(x1, x1))); (76.12568446325055,)
mul(add(8, x1), x2); (87.53187230992528,)
mul(add(-8, x1), x2); (87.97711930351521,)
mul(add(x1, -8), x2); (87.97711930351521,)
mul(neg(mul(1, -8)), x2); (92.71443288832488,)
mul(sq(sq(x2)), x2); (102.83609943970049,)
mul(add(add(x1, x1), mul(x1, 8)), x2); (115.310593604151,)
mul(x2, -9); (116.49178669170571,)
mul(add(add(-10, x1), x1), x2); (134.30119965883654,)
mul(add(safe_div(0.6318796909733464, x1), x1), x2); (204.00145387020498,)
mul(add(x1, x1), 7); (268.71776534515897,)
mul(mul(x1, 9), add(x2, x2)); (461.242374416604,)
mul(x1, add(sub(mul(7, -3), mul(x1, x2)), x2)); (597.514078907321,)
mul(sub(sub(0.9791933175570164, x2), mul(6, x1)), add(x2, add(x1, x1))); (697.5271565740918,)
safe_div(-6, 0.14509398856869304); (1719.48211179832,)
mul(add(tan(tan(x2)), x1), x2); (1765.7036634017516,)
mul(tan(x2), x1); (3276.67798382986,)
mul(add(sin(mul(0, x2)), x1), safe_div(x1, x2)); (11196.974274379527,)
mul(x1, tan(sub(6, x2))); (13876.433333428338,)
mul(add(x2, add(x1, safe_div(sub(-0.48068683573386717, x2), add(x1, -1)))), x1); (20572.1495971149,)
mul(x1, add(safe_div(safe_sqrt(x1), sq(0.08157760397948843)), x2)); (22757.488479456842,)
mul(tan(x1), add(x2, x2)); (49644.42430744757,)
